qtime1,qtime2,GBRRECDM1,GBRRECDM2
1989q1,1989q2,1,1
1989q2,1989q3,1,1
1989q3,1989q4,1,1
1989q4,1990q1,1,1
1990q1,1990q2,1,1
1990q2,1990q3,1,1
1990q3,1990q4,1,1
1990q4,1991q1,1,1
1991q1,1991q2,1,1
1991q2,1991q3,1,1
1991q3,1991q4,1,1
1991q4,1992q1,1,1
1992q1,1992q2,1,1
1992q2,1992q3,1,0
1992q3,1992q4,0,0
1992q4,1993q1,0,0
1993q1,1993q2,0,0
1993q2,1993q3,0,0
1993q3,1993q4,0,0
1993q4,1994q1,0,0
1994q1,1994q2,0,0
1994q2,1994q3,0,0
1994q3,1994q4,0,1
1994q4,1995q1,1,1
1995q1,1995q2,1,1
1995q2,1995q3,1,1
1995q3,1995q4,1,1
1995q4,1996q1,1,1
1996q1,1996q2,1,1
1996q2,1996q3,1,1
1996q3,1996q4,1,1
1996q4,1997q1,1,0
1997q1,1997q2,0,0
1997q2,1997q3,0,0
1997q3,1997q4,0,0
1997q4,1998q1,0,1
1998q1,1998q2,1,1
1998q2,1998q3,1,1
1998q3,1998q4,1,1
1998q4,1999q1,1,1
1999q1,1999q2,1,0
1999q2,1999q3,0,0
1999q3,1999q4,0,0
1999q4,2000q1,0,0
2000q1,2000q2,0,0
2000q2,2000q3,0,0
2000q3,2000q4,0,0
2000q4,2001q1,0,0
2001q1,2001q2,0,0
2001q2,2001q3,0,0
2001q3,2001q4,0,0
2001q4,2002q1,0,0
2002q1,2002q2,0,0
2002q2,2002q3,0,0
2002q3,2002q4,0,0
2002q4,2003q1,0,0
2003q1,2003q2,0,0
2003q2,2003q3,0,0
2003q3,2003q4,0,0
2003q4,2004q1,0,0
2004q1,2004q2,0,0
2004q2,2004q3,0,0
2004q3,2004q4,0,0
2004q4,2005q1,0,0
2005q1,2005q2,0,0
2005q2,2005q3,0,0
2005q3,2005q4,0,0
2005q4,2006q1,0,0
2006q1,2006q2,0,0
2006q2,2006q3,0,0
2006q3,2006q4,0,0
2006q4,2007q1,0,0
2007q1,2007q2,0,0
2007q2,2007q3,0,0
2007q3,2007q4,0,0
2007q4,2008q1,0,1
2008q1,2008q2,1,1
2008q2,2008q3,1,1
2008q3,2008q4,1,1
2008q4,2009q1,1,1
2009q1,2009q2,1,1
2009q2,2009q3,1,0
2009q3,2009q4,0,0
2009q4,2010q1,0,0
2010q1,2010q2,0,0
2010q2,2010q3,0,0
2010q3,2010q4,0,0
2010q4,2011q1,0,0
2011q1,2011q2,0,0
2011q2,2011q3,0,0
2011q3,2011q4,0,0
2011q4,2012q1,0,0
2012q1,2012q2,0,0
2012q2,2012q3,0,0
2012q3,2012q4,0,0
2012q4,2013q1,0,0
2013q1,2013q2,0,0
2013q2,2013q3,0,0
2013q3,2013q4,0,0
2013q4,2014q1,0,0
2014q1,2014q2,0,0
2014q2,2014q3,0,0
2014q3,2014q4,0,1
2014q4,2015q1,1,1
2015q1,2015q2,1,1
2015q2,2015q3,1,1
2015q3,2015q4,1,1
2015q4,2016q1,1,1
2016q1,2016q2,1,1
2016q2,2016q3,1,0
2016q3,2016q4,0,0
2016q4,2017q1,0,0
2017q1,2017q2,0,0
2017q2,2017q3,0,0
