SOCcode1,SOCcode2,angSep
9249,9249,0
1141,9249,0.136098931
9249,1141,0.136098931
1141,1141,0
4132,9249,0.146226359
9249,4132,0.146226359
4132,1141,0.05368561
1141,4132,0.05368561
4132,4132,0
9121,9249,0.156297928
9249,9121,0.156297928
9121,1141,0.167452701
1141,9121,0.167452701
9121,4132,0.235198759
4132,9121,0.235198759
9121,9121,0
7129,9249,0.089215127
9249,7129,0.089215127
7129,1141,0.042238831
1141,7129,0.042238831
7129,4132,0.05840242
4132,7129,0.05840242
7129,9121,0.156056658
9121,7129,0.156056658
7129,7129,0
9235,9249,0.126378784
9249,9235,0.126378784
9235,1141,0.10683861
1141,9235,0.10683861
9235,4132,0.157040714
4132,9235,0.157040714
9235,9121,0.032036096
9121,9235,0.032036096
9235,7129,0.102821719
7129,9235,0.102821719
9235,9235,0
5419,9249,0.216635796
9249,5419,0.216635796
5419,1141,0.127817308
1141,5419,0.127817308
5419,4132,0.141900545
4132,5419,0.141900545
5419,9121,0.132578849
9121,5419,0.132578849
5419,7129,0.128177427
7129,5419,0.128177427
5419,9235,0.080869314
9235,5419,0.080869314
5419,5419,0
3416,9249,0.180422462
9249,3416,0.180422462
3416,1141,0.060492378
1141,3416,0.060492378
3416,4132,0.069633646
4132,3416,0.069633646
3416,9121,0.194660805
9121,3416,0.194660805
3416,7129,0.06803546
7129,3416,0.06803546
3416,9235,0.132467684
9235,3416,0.132467684
3416,5419,0.085793688
5419,3416,0.085793688
3416,3416,0
6124,9249,0.127818539
9249,6124,0.127818539
6124,1141,0.0476547
1141,6124,0.0476547
6124,4132,0.066359345
4132,6124,0.066359345
6124,9121,0.200314594
9121,6124,0.200314594
6124,7129,0.036892185
7129,6124,0.036892185
6124,9235,0.148656885
9235,6124,0.148656885
6124,5419,0.155670658
5419,6124,0.155670658
6124,3416,0.068622573
3416,6124,0.068622573
6124,6124,0
3414,9249,0.159747783
9249,3414,0.159747783
3414,1141,0.177932092
1141,3414,0.177932092
3414,4132,0.215290819
4132,3414,0.215290819
3414,9121,0.190243534
9121,3414,0.190243534
3414,7129,0.11566234
7129,3414,0.11566234
3414,9235,0.180203767
9235,3414,0.180203767
3414,5419,0.205285401
5419,3414,0.205285401
3414,3416,0.157855019
3416,3414,0.157855019
3414,6124,0.130108781
6124,3414,0.130108781
3414,3414,0
3415,9249,0.160863124
9249,3415,0.160863124
3415,1141,0.086524464
1141,3415,0.086524464
3415,4132,0.09398892
4132,3415,0.09398892
3415,9121,0.193792828
9121,3415,0.193792828
3415,7129,0.070711855
7129,3415,0.070711855
3415,9235,0.138432343
9235,3415,0.138432343
