SOCcode1,SOCcode2,modOfMod
9249,9249,0.0
1141,9249,-0.10475447684022735
9249,1141,0.10475447684022735
1141,1141,0.0
4132,9249,-0.02759213680394393
9249,4132,0.02759213680394393
4132,1141,0.07716234003628342
1141,4132,-0.07716234003628342
4132,4132,0.0
9121,9249,-0.0708478742532785
9249,9121,0.0708478742532785
9121,1141,0.033906602586948845
1141,9121,-0.033906602586948845
9121,4132,-0.04325573744933458
4132,9121,0.04325573744933458
9121,9121,0.0
7129,9249,-0.072002543669308
9249,7129,0.072002543669308
7129,1141,0.03275193317091935
1141,7129,-0.03275193317091935
7129,4132,-0.044410406865364065
4132,7129,0.044410406865364065
7129,9121,-0.0011546694160294879
9121,7129,0.0011546694160294879
7129,7129,0.0
9235,9249,-0.05096536769287201
9249,9235,0.05096536769287201
9235,1141,0.05378910914735534
1141,9235,-0.05378910914735534
9235,4132,-0.023373230888928082
4132,9235,0.023373230888928082
9235,9121,0.019882506560406497
9121,9235,-0.019882506560406497
9235,7129,0.021037175976435986
7129,9235,-0.021037175976435986
9235,9235,0.0
5419,9249,-0.02225871853263289
9249,5419,0.02225871853263289
5419,1141,0.08249575830759445
1141,5419,-0.08249575830759445
5419,4132,0.0053334182713110365
4132,5419,-0.0053334182713110365
5419,9121,0.048589155720645615
9121,5419,-0.048589155720645615
5419,7129,0.0497438251366751
7129,5419,-0.0497438251366751
5419,9235,0.028706649160239118
9235,5419,-0.028706649160239118
5419,5419,0.0
3416,9249,-0.09980177875241358
9249,3416,0.09980177875241358
3416,1141,0.00495269808781377
1141,3416,-0.00495269808781377
3416,4132,-0.07220964194846966
4132,3416,0.07220964194846966
3416,9121,-0.028953904499135073
9121,3416,0.028953904499135073
3416,7129,-0.027799235083105583
7129,3416,0.027799235083105583
3416,9235,-0.04883641105954157
9235,3416,0.04883641105954157
3416,5419,-0.07754306021978069
5419,3416,0.07754306021978069
3416,3416,0.0
6124,9249,-0.03430661856808261
9249,6124,0.03430661856808261
6124,1141,0.07044785827214474
1141,6124,-0.07044785827214474
6124,4132,-0.006714481764138684
4132,6124,0.006714481764138684
6124,9121,0.036541255685195895
9121,6124,-0.036541255685195895
